Player,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
Brandon Aiyuk,11.0,25,WR,16,16,200,Jun-00,Arizona St.,3/17/98,3,15,San Francisco 49ers / 1st / 25th pick / 2020,AiyuBr00
Brandon Allen,17.0,31,QB,0,0,209,2-Jun,Arkansas,9/5/92,4,,Jacksonville Jaguars / 6th / 201st pick / 2016,AlleBr00
Arik Armstead,91.0,30,DL,12,12,290,7-Jun,Oregon,11/15/93,8,6,San Francisco 49ers / 1st / 17th pick / 2015,ArmsAr01
Aaron Banks,65.0,26,OL,15,14,325,5-Jun,Notre Dame,9/3/97,2,7,San Francisco 49ers / 2nd / 48th pick / 2021,BankAa00
Ben Bartch,78.0,25,OL,5,0,315,6-Jun,Saint John's (MN),7/22/98,3,0,Jacksonville Jaguars / 4th / 116th pick / 2020,BartBe00
Robert Beal,51.0,24,DL,4,0,250,,Georgia,8/18/99,Rook,0,San Francisco 49ers / 5th / 173rd pick / 2023,BealRo00
Ronnie Bell,10.0,23,WR,17,0,190,,Michigan,1/28/00,Rook, ,San Francisco 49ers / 7th / 253rd pick / 2023,BellRo01
Nick Bosa,97.0,26,DL,17,17,266,4-Jun,Ohio St.,10/23/97,4,11,San Francisco 49ers / 1st / 2nd pick / 2019,BosaNi00
Jake Brendel,64.0,31,OL,17,17,299,4-Jun,UCLA,9/10/92,7,8,,BrenJa01
Ji'Ayir Brown,27.0,23,S,15,5,202,,LackawannaPenn St.,1/25/00,Rook,2,San Francisco 49ers / 3rd / 87th pick / 2023,BrowJi01
Spencer Burford,74.0,24,OL,14,13,300,4-Jun,Texas-San Antonio,7/19/99,1,7,San Francisco 49ers / 4th / 134th pick / 2022,BurfSp00
Oren Burks,48.0,28,LB,15,5,233,3-Jun,Vanderbilt,3/21/95,5,4,Green Bay Packers / 3rd / 88th pick / 2018,BurkOr00
Chris Conley,84.0,31,WR,8,0,205,3-Jun,Georgia,10/25/92,8,1,Kansas City Chiefs / 3rd / 76th pick / 2015,ConlCh00
Sam Darnold,14.0,26,QB,10,1,225,3-Jun,USC,6/5/97,5,1,New York Jets / 1st / 3rd pick / 2018,DarnSa00
Jon Feliciano,55.0,31,OL,16,7,325,4-Jun,Miami (FL),2/10/92,8,4,Oakland Raiders / 4th / 128th pick / 2015,FeliJo00
Demetrius Flannigan-Fowles,45.0,27,LB,16,1,223,2-Jun,Arizona,9/4/96,3,2,,FlanDe00
Tashaun Gipson,31.0,33,S,16,16,212,1-Jun,Wyoming,8/7/90,11,5,,GipsTa00
Kevin Givens,90.0,26,DL,17,1,285,1-Jun,Penn St.,3/1/97,4,2,,GiveKe01
Jalen Graham,50.0,22,LB,4,0,220,,Purdue,1/11/01,Rook,0,San Francisco 49ers / 7th / 255th pick / 2023,GrahJa02
Dre Greenlaw,57.0,26,LB,15,15,230,Jun-00,Arkansas,5/27/97,4,7,San Francisco 49ers / 5th / 148th pick / 2019,GreeDr00
Randy Gregory,5.0,31,LB,12,0,242,5-Jun,Arizona WesternNebraska,11/23/92,8,1,Dallas Cowboys / 2nd / 60th pick / 2015,GregRa00
Javon Hargrave,98.0,30,DL,16,16,305,2-Jun,South Carolina St.,2/7/93,7,10,Pittsburgh Steelers / 3rd / 89th pick / 2016,HargJa00
Jauan Jennings,15.0,26,WR,13,2,212,3-Jun,Tennessee,7/10/97,2,3,San Francisco 49ers / 7th / 217th pick / 2020,JennJa00
Sebastian Joseph-Day,69.0,28,DT,2,0,310,4-Jun,Rutgers,3/21/95,4,0,Los Angeles Rams / 6th / 195th pick / 2018,JoseSe00
Kyle Juszczyk,44.0,32,FB,17,16,235,2-Jun,Harvard,4/23/91,10,1,Baltimore Ravens / 4th / 130th pick / 2013,JuszKy00
Javon Kinlaw,99.0,26,DT,17,6,319,5-Jun,South Carolina,10/3/97,3,4,San Francisco 49ers / 1st / 14th pick / 2020,KinlJa00
George Kittle,85.0,30,TE,16,16,250,4-Jun,Iowa,10/9/93,6,11,San Francisco 49ers / 5th / 146th pick / 2017,KittGe00
Deommodore Lenoir,2.0,24,DB,17,17,200,10-May,Oregon,10/6/99,2,5,San Francisco 49ers / 5th / 172nd pick / 2021,LenoDe00
Darrell Luter,28.0,23,CB,7,0,190,,Pearl River CCSouth Alabama,4/24/00,Rook,0,San Francisco 49ers / 5th / 155th pick / 2023,LuteDa00
Jordan Mason,24.0,24,RB,17,0,223,11-May,Georgia Tech,5/24/99,1,2,,MasoJo00
Christian McCaffrey,23.0,27,RB,16,16,205,11-May,Stanford,6/7/96,6,18,Carolina Panthers / 1st / 8th pick / 2017,McCaCh01
Ray-Ray McCloud,3.0,27,WR,12,1,190,9-May,Clemson,10/15/96,5,2,Buffalo Bills / 6th / 187th pick / 2018,McClRa00
Colton McKivitz,68.0,27,OL,17,17,301,6-Jun,West Virginia,8/9/96,3,8,San Francisco 49ers / 5th / 153rd pick / 2020,McKiCo00
Elijah Mitchell,25.0,25,RB,11,1,200,10-May,Louisiana,5/2/98,2,2,San Francisco 49ers / 6th / 194th pick / 2021,MitcEl00
Jake Moody,4.0,24,K,17,0,210,,Michigan,11/23/99,Rook,3,San Francisco 49ers / 3rd / 99th pick / 2023,MoodJa00
Jaylon Moore,76.0,25,OL,16,2,311,4-Jun,Western Michigan,1/9/98,2,2,San Francisco 49ers / 5th / 155th pick / 2021,MoorJa04
Isaiah Oliver,26.0,27,CB,17,6,202,Jun-00,Colorado,9/30/96,5,3,Atlanta Falcons / 2nd / 58th pick / 2018,OlivIs00
Taybor Pepper,46.0,29,LS,17,0,245,4-Jun,Michigan St.,5/28/94,6,1,,PeppTa00
Matt Pryor,75.0,29,OL,15,0,332,7-Jun,TCU,12/16/94,4,1,Philadelphia Eagles / 6th / 206th pick / 2018,PryoMa00
Brock Purdy,13.0,24,QB,16,16,220,1-Jun,Iowa St.,12/27/99,1,18,San Francisco 49ers / 7th / 262nd pick / 2022,PurdBr00
Logan Ryan,33.0,32,S,5,2,195,11-May,Rutgers,2/9/91,10,1,New England Patriots / 3rd / 83rd pick / 2013,RyanLo00
